species_label	speciations	duplications	losses
Tribolium_castaneum	4	1	0
Tribolium_madens	4	1	0
Trichogramma_pretiosum	2	1	1
Trichoplusia_ni	3	0	0
Uranotaenia_lowii	2	0	1
Vanessa_atalanta	3	0	0
Vanessa_cardui	3	0	0
Vanessa_tameamea	4	1	0
Venturia_canescens	1	0	2
Vespa_crabro	1	0	0
Vespa_mandarinia	1	0	0
Vespa_velutina	1	0	0
Vespula_pensylvanica	1	0	0
Vespula_vulgaris	1	0	0
Vollenhovia_emeryi	3	1	3
Wasmannia_auropunctata	4	2	3
Wyeomyia_smithii	2	0	0
Zerene_cesonia	4	1	1
Zeugodacus_cucurbitae	2	0	0
Zootermopsis_nevadensis	6	0	0
Zophobas_morio	14	7	1
